DATE,CLOSE,HIGH,LOW,OPEN,TRADES,VWAP
2023-02-13,1717.65,1921.7,1662.25,1850.0,617527,1753.0
2023-02-10,1846.95,1990.0,1733.15,1769.0,539738,1891.35
2023-02-09,1925.7,2168.0,1731.4,2168.0,829391,1972.72
2023-02-08,2164.25,2222.15,1840.85,1869.85,861666,2023.24
2023-02-07,1802.95,1962.7,1525.6,1571.0,809538,1764.46
2023-02-06,1572.7,1615.0,1435.2,1575.0,911312,1539.88
2023-02-03,1586.8,1679.9,1017.45,1490.0,1704970,1354.92
2023-02-02,1565.25,2348.85,1494.75,2348.85,1563346,1827.68
2023-02-01,2135.35,3010.75,1941.2,2995.0,566482,2540.21
2023-01-31,2973.9,3073.6,2906.0,2980.0,497618,2984.79
2023-01-30,2892.85,3037.55,2665.0,2850.0,907742,2865.44
2023-01-27,2761.45,3346.5,2712.0,3335.0,562994,3010.35
2023-01-25,3388.95,3428.0,3315.0,3422.0,114072,3372.68
2023-01-24,3442.0,3508.0,3430.0,3447.45,62403,3458.77
2023-01-23,3436.35,3460.0,3412.55,3443.05,45252,3435.17
2023-01-20,3456.15,3477.35,3440.95,3450.0,55259,3456.32
2023-01-19,3463.55,3537.7,3426.7,3470.0,153420,3468.31
2023-01-18,3596.7,3648.0,3527.1,3648.0,123459,3590.24
2023-01-17,3639.35,3649.6,3560.2,3620.0,75220,3615.39
2023-01-16,3619.8,3739.95,3600.0,3720.0,81657,3637.65
2023-01-13,3721.15,3736.05,3642.2,3651.2,71398,3693.45
2023-01-12,3647.2,3679.0,3612.0,3642.5,61175,3644.0
2023-01-11,3635.8,3664.5,3560.1,3660.0,104118,3616.79
2023-01-10,3646.9,3862.05,3555.0,3859.0,161278,3672.11
2023-01-09,3855.3,3880.0,3811.25,3843.0,42423,3850.6
2023-01-06,3824.25,3868.25,3797.05,3829.0,44367,3834.29
2023-01-05,3829.8,3842.4,3756.9,3827.05,49242,3813.43
2023-01-04,3827.05,3874.95,3803.6,3839.0,47586,3833.86
2023-01-03,3830.95,3852.85,3791.0,3841.9,38042,3830.96
2023-01-02,3841.2,3874.0,3822.55,3870.0,42124,3847.82
2022-12-30,3858.35,3898.0,3822.05,3829.7,59598,3858.43
2022-12-29,3810.6,3825.0,3748.1,3790.0,67660,3790.66
2022-12-28,3797.7,3825.0,3745.0,3756.05,58991,3784.81
2022-12-27,3769.65,3797.9,3695.05,3732.45,72966,3740.71
2022-12-26,3716.75,3744.9,3620.0,3653.0,99922,3711.03
2022-12-23,3642.2,3848.0,3616.8,3822.0,140276,3730.4
2022-12-22,3868.55,3948.0,3817.05,3948.0,134348,3877.13
2022-12-21,3901.95,4190.0,3883.25,4175.0,167340,4005.13
2022-12-20,4165.3,4172.0,4066.4,4095.0,131294,4125.2
2022-12-19,4075.3,4104.0,3971.45,3988.0,53127,4030.64
2022-12-16,3980.8,4047.9,3944.05,4018.9,55399,3992.46
2022-12-15,4043.75,4073.05,4025.0,4055.8,37452,4051.93
2022-12-14,4055.8,4092.05,4040.0,4076.0,42940,4067.51
2022-12-13,4060.2,4072.0,4011.6,4027.8,47587,4047.97
2022-12-12,4016.7,4031.9,3968.75,3997.0,38510,4008.66
2022-12-09,3996.8,4094.0,3941.5,4044.0,79946,4020.27
2022-12-08,4025.0,4045.0,4003.35,4010.0,43843,4027.23
2022-12-07,3999.3,4057.9,3984.55,4031.0,63713,4016.92
2022-12-06,4031.8,4057.0,3909.0,3920.0,121859,4013.11
2022-12-05,3930.4,3939.0,3810.05,3928.9,88778,3874.71
2022-12-02,3922.5,3963.8,3885.0,3905.0,53440,3922.77
2022-12-01,3915.1,3944.95,3902.45,3937.5,35157,3921.49
2022-11-30,3917.9,3939.9,3867.0,3897.8,62047,3904.01
2022-11-29,3878.4,3915.0,3864.05,3885.0,46398,3888.99
2022-11-28,3886.15,3925.0,3871.4,3899.4,42474,3900.75
2022-11-25,3901.1,3949.9,3845.3,3929.0,91106,3894.99
2022-11-24,3921.1,3935.0,3821.0,3910.0,111478,3883.06
2022-11-23,3903.3,4061.85,3873.0,4050.0,119633,3952.37
2022-11-22,4034.0,4056.0,3988.0,4001.85,61621,4031.64
2022-11-21,4001.85,4019.95,3921.95,4019.95,63301,3978.87
2022-11-18,4019.8,4043.0,3984.0,4028.35,61375,4013.45
2022-11-17,4018.15,4033.0,3900.0,3970.0,100741,3976.54
2022-11-16,3956.6,4096.0,3863.55,4057.3,120771,3979.89
2022-11-15,4057.8,4065.0,4022.0,4025.05,49890,4042.27
2022-11-14,4022.55,4078.0,3990.0,3999.0,76145,4035.32
2022-11-11,4008.85,4048.95,3975.15,4040.0,69136,4013.71
2022-11-10,3992.25,4030.0,3962.15,3995.0,94415,3997.44
2022-11-09,3997.2,4048.0,3943.05,3977.0,148664,4007.49
2022-11-07,3960.6,4013.7,3820.0,3852.45,261119,3943.84
2022-11-04,3833.25,3849.8,3566.75,3642.0,251172,3732.33
2022-11-03,3590.4,3614.7,3542.45,3550.0,56803,3588.04
2022-11-02,3580.7,3625.15,3526.0,3580.0,103751,3575.05
2022-11-01,3575.7,3607.45,3352.0,3361.9,162903,3519.15
2022-10-31,3347.45,3360.0,3326.1,3339.95,30283,3343.51
2022-10-28,3323.3,3387.95,3297.65,3322.0,48185,3337.92
2022-10-27,3325.0,3355.0,3297.0,3319.85,37985,3322.7
2022-10-25,3300.5,3345.0,3294.0,3321.95,35025,3313.09
2022-10-24,3309.8,3340.1,3287.4,3325.0,9916,3317.49
2022-10-21,3311.9,3382.0,3287.0,3374.9,41865,3335.48
2022-10-20,3357.1,3365.0,3245.0,3260.0,66573,3308.85
2022-10-19,3277.25,3310.0,3259.65,3300.0,45073,3289.84
2022-10-18,3284.3,3298.0,3226.1,3249.0,51032,3268.8
2022-10-17,3212.6,3235.0,3136.1,3211.0,65568,3198.73
2022-10-14,3209.5,3305.0,3194.85,3272.0,50469,3242.81
2022-10-13,3233.65,3262.8,3189.0,3218.0,67694,3226.46
2022-10-12,3223.65,3297.0,3145.0,3297.0,123910,3207.73
2022-10-11,3273.95,3338.0,3249.0,3257.55,98321,3299.63
2022-10-10,3246.25,3278.75,3214.35,3234.0,64438,3250.34
2022-10-07,3277.6,3310.95,3228.15,3280.0,65403,3269.68
2022-10-06,3285.0,3318.8,3208.05,3270.0,106184,3269.85
2022-10-04,3237.7,3291.2,3125.0,3230.0,206194,3229.86
2022-10-03,3157.3,3460.05,3110.2,3440.0,242309,3239.55
2022-09-30,3455.75,3523.8,3371.1,3447.95,143905,3457.64
2022-09-29,3470.7,3664.75,3443.6,3583.5,154930,3495.25
2022-09-28,3548.75,3596.95,3503.0,3528.0,76568,3555.21
2022-09-27,3559.1,3629.55,3485.85,3596.0,121229,3556.17
2022-09-26,3586.2,3658.0,3532.0,3646.3,122902,3598.74
2022-09-23,3674.3,3737.9,3655.0,3732.0,104208,3696.89
2022-09-22,3716.3,3735.95,3608.05,3639.0,134542,3688.15
2022-09-21,3640.1,3862.8,3571.25,3837.65,227558,3686.35
